timestamp,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,class
2017-10-31 19:30:25,13359720.0,106.8783,5757488.0,72.78588,0.0
2017-10-31 19:30:26,13360870.0,106.8603,5757488.0,72.7855,0.0
2017-10-31 19:30:27,13362020.0,106.8423,5757488.0,72.78513000000001,0.0
2017-10-31 19:30:28,13364320.0,106.8513,5757488.0,72.78474,0.0
2017-10-31 19:30:29,13366620.0,106.8603,5757488.0,72.78437,0.0
2017-10-31 19:30:30,13364320.0,106.8761,5757488.0,72.78399,0.0
2017-10-31 19:30:31,13362020.0,106.8918,5757488.0,72.78362,0.0
2017-10-31 19:30:32,13362600.0,106.8885,5757488.0,72.78323,0.0
2017-10-31 19:30:33,13363170.0,106.8851,5757488.0,72.78286,0.0
2017-10-31 19:30:34,13363750.0,106.8817,5757488.0,72.78248,0.0
2017-10-31 19:30:35,13364320.0,106.8783,5757488.0,72.7821,0.0
2017-10-31 19:30:36,13364900.0,106.8851,5757488.0,72.78171999999999,0.0
2017-10-31 19:30:37,13365470.0,106.8918,5757488.0,72.78134,0.0
2017-10-31 19:30:38,13366040.0,106.8716,5757488.0,72.78097,0.0
2017-10-31 19:30:39,13366620.0,106.8513,5757488.0,72.78059,0.0
2017-10-31 19:30:40,13363170.0,106.8558,5757488.0,72.78021,0.0
2017-10-31 19:30:41,13359720.0,106.8603,5757488.0,72.77983,0.0
2017-10-31 19:30:42,13360870.0,106.8626,5757488.0,72.77946,0.0
2017-10-31 19:30:43,13362020.0,106.8648,5757488.0,72.77908000000001,0.0
2017-10-31 19:30:44,13364320.0,106.8738,5757488.0,72.77869,0.0
2017-10-31 19:30:45,13366620.0,106.8828,5757337.0,72.77832,0.0
2017-10-31 19:30:46,13364900.0,106.8626,5757185.0,72.77794,0.0
2017-10-31 19:30:47,13363170.0,106.8423,5757034.0,72.77757,0.0
2017-10-31 19:30:48,13361450.0,106.8716,5756882.0,72.77718,0.0
2017-10-31 19:30:49,13359720.0,106.9008,5756730.0,72.77681,0.0
2017-10-31 19:30:50,13360300.0,106.8952,5756579.0,72.77643,0.0
2017-10-31 19:30:51,13360870.0,106.8896,5756427.0,72.77605,0.0
2017-10-31 19:30:52,13361450.0,106.884,5756276.0,72.77566999999999,0.0
2017-10-31 19:30:53,13362020.0,106.8783,5756125.0,72.77529,0.0
2017-10-31 19:30:54,13364320.0,106.8693,5755973.0,72.77492,0.0
2017-10-31 19:30:55,13366620.0,106.8603,5755821.0,72.77454,0.0
